project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
174,terraform-rke,thomas.buchboeck/terraform-rke,https://gitlab.intern.has-to-be.com/thomas.buchboeck/terraform-rke,2020-11-25T11:54:28.685+01:00,user,thomas.buchboeck,FALSE,private,383,Jira,jira,2020-11-25T11:54:28.796+01:00,2020-11-25T11:54:28.796+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
174,terraform-rke,thomas.buchboeck/terraform-rke,https://gitlab.intern.has-to-be.com/thomas.buchboeck/terraform-rke,2020-11-25T11:54:28.685+01:00,user,thomas.buchboeck,FALSE,private,755,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
173,notes,michael.hinterhofer/notes,https://gitlab.intern.has-to-be.com/michael.hinterhofer/notes,2021-07-07T09:00:25.804+02:00,user,michael.hinterhofer,FALSE,private,382,Jira,jira,2020-11-23T09:50:55.415+01:00,2020-11-23T09:50:55.415+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
173,notes,michael.hinterhofer/notes,https://gitlab.intern.has-to-be.com/michael.hinterhofer/notes,2021-07-07T09:00:25.804+02:00,user,michael.hinterhofer,FALSE,private,754,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
171,json-in-po-script,markus.hauthaler/json-in-po-script,https://gitlab.intern.has-to-be.com/markus.hauthaler/json-in-po-script,2020-11-18T14:59:20.635+01:00,user,markus.hauthaler,FALSE,internal,380,Jira,jira,2020-11-18T14:59:20.901+01:00,2020-11-18T14:59:20.901+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
171,json-in-po-script,markus.hauthaler/json-in-po-script,https://gitlab.intern.has-to-be.com/markus.hauthaler/json-in-po-script,2020-11-18T14:59:20.635+01:00,user,markus.hauthaler,FALSE,internal,753,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
170,gitlab-ci-workshop,andrei.rosiuta/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/andrei.rosiuta/gitlab-ci-workshop,2020-11-11T14:59:34.089+01:00,user,andrei.rosiuta,FALSE,internal,379,Jira,jira,2020-11-11T14:59:34.130+01:00,2020-11-11T14:59:34.130+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
170,gitlab-ci-workshop,andrei.rosiuta/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/andrei.rosiuta/gitlab-ci-workshop,2020-11-11T14:59:34.089+01:00,user,andrei.rosiuta,FALSE,internal,752,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
169,gitlab-ci-workshop,almin.pupalovic/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/almin.pupalovic/gitlab-ci-workshop,2020-11-11T16:00:49.466+01:00,user,almin.pupalovic,FALSE,internal,378,Jira,jira,2020-11-11T14:59:32.640+01:00,2020-11-11T14:59:32.640+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
169,gitlab-ci-workshop,almin.pupalovic/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/almin.pupalovic/gitlab-ci-workshop,2020-11-11T16:00:49.466+01:00,user,almin.pupalovic,FALSE,internal,751,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
