project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
742,dashboard,viriciti/cs/front-end/dashboard,https://git.viriciti.com/viriciti/cs/front-end/dashboard,2023-07-06T14:59:54.314Z,group,viriciti/cs/front-end,FALSE,private,3781,Slack notifications,slack,2019-09-05T13:52:38.551Z,2019-09-05T13:52:38.551Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
741,dashboard-chargestation,viriciti/cs/front-end/dashboard-chargestation,https://git.viriciti.com/viriciti/cs/front-end/dashboard-chargestation,2024-01-11T21:05:54.078Z,group,viriciti/cs/front-end,FALSE,private,3780,Slack notifications,slack,2019-09-05T13:50:39.371Z,2019-09-05T13:50:39.371Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
740,transactions,viriciti/cs/front-end/transactions,https://git.viriciti.com/viriciti/cs/front-end/transactions,2023-03-22T14:39:55.274Z,group,viriciti/cs/front-end,FALSE,private,3779,Slack notifications,slack,2019-09-05T13:49:49.114Z,2019-09-05T13:49:49.114Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
739,reports,viriciti/cs/front-end/reports,https://git.viriciti.com/viriciti/cs/front-end/reports,2024-01-11T21:56:24.957Z,group,viriciti/cs/front-end,FALSE,private,3778,Slack notifications,slack,2019-09-05T13:46:58.818Z,2019-09-05T13:46:58.818Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
738,firmwares,viriciti/cs/front-end/firmwares,https://git.viriciti.com/viriciti/cs/front-end/firmwares,2020-12-03T19:15:55.079Z,group,viriciti/cs/front-end,FALSE,private,3777,Slack notifications,slack,2019-09-05T13:45:41.369Z,2019-09-05T13:45:41.369Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
737,configuration,viriciti/cs/front-end/configuration,https://git.viriciti.com/viriciti/cs/front-end/configuration,2022-09-19T14:25:33.024Z,group,viriciti/cs/front-end,FALSE,private,3776,Slack notifications,slack,2019-09-05T13:44:13.994Z,2019-09-05T13:44:13.994Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
736,smartcharging,viriciti/cs/smartcharging,https://git.viriciti.com/viriciti/cs/smartcharging,2024-02-07T11:32:49.359Z,group,viriciti/cs,FALSE,private,3775,Slack notifications,slack,2019-09-05T13:35:02.481Z,2019-09-05T13:35:02.481Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
735,devops-trials,administration/devops-trials,https://git.viriciti.com/administration/devops-trials,2019-09-17T14:58:51.373Z,group,administration,TRUE,private,3774,Slack notifications,slack,2019-09-05T13:13:55.186Z,2019-09-05T13:13:55.186Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
734,transactions,viriciti/cs/transactions,https://git.viriciti.com/viriciti/cs/transactions,2024-02-14T16:24:07.541Z,group,viriciti/cs,FALSE,private,3773,Slack notifications,slack,2019-09-05T13:04:15.712Z,2019-09-05T13:04:15.712Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
733,oem-backoffice,viriciti/cs/oem-backoffice,https://git.viriciti.com/viriciti/cs/oem-backoffice,2022-05-25T09:27:27.417Z,group,viriciti/cs,TRUE,private,3772,Slack notifications,slack,2019-09-05T10:33:27.550Z,2019-09-05T10:33:27.550Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
